"8941GXH","VF36ERHF8AL014144","05/31/2010","PEUGEOT","407 SW SPORT 2.0 HDI 140CV","DIESEL","140","2.0","5P","GRIS ALUMINIO","13900","19500,00","18900,00","1","EXP. PUERTO","CDVO","PARTICULAR","03/30/2011","24 MESES"," ABS ESP AIRBAG CONDUCTOR AIRBAG PASAJERO AIRBAG LATERAL ANTINIEBLA CIERRE CENTRALIZADO INMOVILIZADOR AIRE ACONDICIONADO CLIMATIZADOR TECHO SOLAR DIRECCION ASISTIDA ELEVALUNAS ELECTRICO CONTROL VELOCIDAD RADIO CD LLANTAS GPS PINTURA METALIZADA","77398"
"7786GXR","VF3EB4HTHAZ014144","07/05/2010","PEUGEOT","807 PREMIUM 2.2 HDI 170CV FAP","DIESEL","170","2.2","5P","GRIS MANITOBA","18000","26900,00","26300,00","1","EXP. PUERTO","CDVO","PARTICULAR","03/30/2011","24 MESES"," ABS ESP AIRBAG CONDUCTOR AIRBAG LATERAL AIRBAG PASAJERO ANTINIEBLA INMOVILIZADOR CIERRE CENTRALIZADO AIRE ACONDICIONADO CLIMATIZADOR DIRECCION ASISTIDA ELEVALUNAS ELECTRICO CONTROL VELOCIDAD RADIO CD CONTROL AYUDA PARKING LLANTAS PINTURA METALIZADA REPRODUCTOR DVD","77399"
"1258GJN","VF34H9HZH55316731","11/24/2008","PEUGEOT","308 SW SPORT 1.6 HDI 110CV","DIESEL","110","1.6","5P","ROJO BABILONIA","100400","12500,00","11900,00","1","EXP. PUERTO","CDVO","PARTICULAR","04/12/2011","24 MESES"," ABS ESP AIRBAG CONDUCTOR AIRBAG PASAJERO AIRBAG LATERAL ANTINIEBLA INMOVILIZADOR CIERRE CENTRALIZADO CLIMATIZADOR TECHO SOLAR DIRECCION ASISTIDA ELEVALUNAS ELECTRICO CONTROL VELOCIDAD RADIO CD BACA LLANTAS PINTURA METALIZADA","77495"
"3511GWH","VF34H9HZHAS132790","05/19/2010","PEUGEOT","308 SW SPORT 1.6 HDI 110CV","DIESEL","110","1.6","5P","NEGRO PERLA","32200","16500,00","15900,00","1","EXP. PUERTO","CDVO","PARTICULAR","04/12/2011","24 MESES"," ABS ESP AIRBAG CONDUCTOR AIRBAG PASAJERO AIRBAG LATERAL ANTINIEBLA INMOVILIZADOR CIERRE CENTRALIZADO CLIMATIZADOR TECHO SOLAR DIRECCION ASISTIDA ELEVALUNAS ELECTRICO CONTROL VELOCIDAD RADIO CD BACA LLANTAS PINTURA METALIZADA","77499"
"0579DLS","VF1JM0U00634","06/16/2005","RENAULT","MEGANE SCENIC 2.0 PRIVILEGE","GASOLINA","140","2.0","5P","GRIS ALUMINIO","48400","5000,00","4700,00","1","EXP. PUERTO","PARTICULAR","PARTICULAR","04/25/2011","12 MESES"," ABS ESP CONTROL VELOCIDAD ANTINIEBLA AIRBAG CONDUCTOR AIRBAG LATERAL AIRBAG PASAJERO AIRE ACONDICIONADO CLIMATIZADOR CIERRE CENTRALIZADO ELEVALUNAS ELECTRICO PINTURA METALIZADA DIRECCION ASISTIDA INMOVILIZADOR RADIO CD","77529"
"2553GDX","VF3WCKFVC34306400","05/27/2008","PEUGEOT","207 5P CONFORT 1.4 75","GASOLINA","75","1.4","5P","NEGRO OBSID","17500","7650,00","7200,00","1","EXP. CADIZ","CDVO","PARTICULAR","01/14/2011","12 MESES"," AIRE ACONDICIONADO PINTURA METALIZADA ABS AIRBAG CONDUCTOR AIRBAG PASAJERO CIERRE CENTRALIZADO AIRE ACONDICIONADO DIRECCION ASISTIDA ELEVALUNAS ELECTRICO CONTROL VELOCIDAD RADIO CD PINTURA METALIZADA","61914"
"7392FHG","VF33CNFUL84705514","11/06/2006","PEUGEOT","307 5P XLINE 1.6 110","GASOLINA","110","1.6","5P","AZUL ABYSSE","25157","6000,00","6000,00","1","EXP. PUERTO","PARTICULAR","PARTICULAR","11/16/2010","12 MESES"," PINTURA METALIZADA SERIE+RE07 ABS AIRBAG CONDUCTOR AIRBAG PASAJERO AIRBAG LATERAL INMOVILIZADOR CIERRE CENTRALIZADO CLIMATIZADOR DIRECCION ASISTIDA ELEVALUNAS ELECTRICO RADIO CD PINTURA METALIZADA","51406"
"3553GMW","VF3XA9HUC64159471","06/16/2009","PEUGEOT","EXPERT HDI 1.6 CB MIXTO L1 90","GASOLINA","90","1.6","5P","BLANCO BANQUISE","39300","16900,00","16700,00","2","EXP. CADIZ","KM0","PARTICULAR","03/22/2011","24 MESES"," BQ PRTE FEUILLE R2+S RCD4+JY00+LX06 AIRE ACONDICIONADO ABS AIRBAG CONDUCTOR AIRBAG PASAJERO CIERRE CENTRALIZADO DIRECCION ASISTIDA ELEVALUNAS ELECTRICO RADIO CD PINTURA METALIZADA","67845"
"9263FKW","VF36ERHRH21537241","11/27/2006","PEUGEOT","407 SW ST SPORT HDI 136","DIESEL","136","2.0","5P","ORO BLANCO","209600","8500,00","7800,00","1","EXP. JEREZ","CDVO","PARTICULAR","02/11/2011","12 MESES"," PINTURA METALIZADA KML BLUETOOTH ABS ESP AIRBAG CONDUCTOR AIRBAG LATERAL AIRBAG PASAJERO ANTINIEBLA INMOVILIZADOR CIERRE CENTRALIZADO CLIMATIZADOR TECHO SOLAR DIRECCION ASISTIDA ELEVALUNAS ELECTRICO CONTROL VELOCIDAD RADIO CD BACA LLANTAS PINTURA METALIZADA","S34092"
"0131FNR","VF3WA9HZC33477558","04/23/2007","PEUGEOT","207 1.6 3P XSPACK HDI 110","DIESEL","110","1.6","3P","NEGRO OBSID","78400","8900,00","8600,00","1","EXP. PUERTO","PARTICULAR","PARTICULAR","02/25/2011","12 MESES"," PINTURA METALIZADA ABS AIRBAG CONDUCTOR AIRBAG PASAJERO AIRBAG LATERAL ANTINIEBLA INMOVILIZADOR CIERRE CENTRALIZADO AIRE ACONDICIONADO CLIMATIZADOR DIRECCION ASISTIDA ELEVALUNAS ELECTRICO CONTROL VELOCIDAD RADIO CD LLANTAS PINTURA METALIZADA","52223"
