"103","74793","     ","1","PEUGEOT 207 3P URBAN 1.4 HDI 70CV","3P","DIESEL","09-23-2008","117000","BLANCO BANQUISE","12 MESES","70","2008/09","7035GHN","VF3WA8HZC34526096","","7500,00"," ABS AIRBAG CONDUCTOR AIRBAG PASAJERO CIERRE CENTRALIZADO AIRE ACONDICIONADO DIRECCION ASISTIDA ELEVALUNAS ELECTRICO RADIO CD AIRBAG LATERAL","PEUGEOT","CDVO","PA"
"102","74799","     ","1","PEUGEOT 407 ST SPORT 2.0 HDI 136CV","4P","DIESEL","07-26-2007","166600","GRIS ALUMINIO","12 MESES","136","2007/07","9852FTL","VF36DRHRH21645275","","9500,00"," ANTINIEBLA ABS ESP AIRBAG CONDUCTOR AIRBAG PASAJERO AIRBAG LATERAL AIRBAG CONDUCTOR CIERRE CENTRALIZADO AIRE ACONDICIONADO CLIMATIZADOR DIRECCION ASISTIDA ELEVALUNAS ELECTRICO CONTROL VELOCIDAD RADIO CD PINTURA METALIZADA LLANTAS","PEUGEOT","CDVO","PA"
"102","74802","     ","1","PEUGEOT 407 CONFORT 1.6 HDI 110CV","4P","DIESEL","01-18-2008","99100","GRIS ALUMINIO","12 MESES","110","2008/01","1882FZJ","VF36D9HZC21688679","","10500,00"," ANTINIEBLA ABS ESP AIRBAG CONDUCTOR AIRBAG PASAJERO AIRBAG LATERAL CIERRE CENTRALIZADO AIRE ACONDICIONADO CLIMATIZADOR DIRECCION ASISTIDA ELEVALUNAS ELECTRICO CONTROL VELOCIDAD RADIO CD PINTURA METALIZADA","PEUGEOT","CDVO","PA"
"101","69637","     ","1","PEUGEOT 308 5P SPORT 1.6 HDI 110","5P","DIESEL","11-30-2009","3000","GRIS HURRICANE","24 MESES","110","2009/11","5842GSB","VF34C9HZC9Y088732","","15500,00"," ABS ESP AIRBAG CONDUCTOR AIRBAG LATERAL AIRBAG PASAJERO ANTINIEBLA CIERRE CENTRALIZADO CLIMATIZADOR AIRE ACONDICIONADO ELEVALUNAS ELECTRICO CONTROL VELOCIDAD RADIO CD LLANTAS PINTURA METALIZADA","PEUGEOT","CDVO","PA"
"101","43097","     ","1","PEUGEOT 206 CC HDI 110 50","","DIESEL","08-09-2005","72000","GRIS ACERO","DESC","","2005/08","7270DNW","VF32D9HZA44692730","","7500,00"," PINTURA METALIZADA","PEUGEOT","","PA"
"101","59030","     ","1","PEUGEOT 308 5P CONF VTI 120","","GASOLINA","06-30-2008","37400","GRIS SHARK","12 MESES","","2008/06","4452GFX","VF34C5FWC55049966","","10900,00"," PINTURA METALIZADA CLIMATIZADOR","PEUGEOT","CDVO","PA"
"103","64834","     ","1","PEUGEOT 207 5P CONFORT 1.4 16V","","GASOLINA","04-30-2009","7951","GRIS ALUMINIO","24 MESES","95","2009/04","7495GMB","VF3WC8FSC34507627","","10000,00"," PINTURA METALIZADA AIRE ACONDICIONADO","PEUGEOT","CDVO","PA"
"101","70371","     ","1","PEUGEOT 107 1.0I URBAN 68CV 5P","5P","GASOLINA","03-31-2010","6200","AMARILLO CITRUS","24 MESES","68","2010/03","6459GVL","VF3PNCFAC88407463","","8900,00"," GOIB PACK ABS AIRBAG CONDUCTOR AIRBAG PASAJERO AIRBAG CONDUCTOR CIERRE CENTRALIZADO DIRECCION ASISTIDA ELEVALUNAS ELECTRICO RADIO CD PINTURA METALIZADA AIRE ACONDICIONADO","PEUGEOT","KM0","PA"
"101","65163","     ","1","PEUGEOT 207 5P CONFORT 1.4 75","5P","GASOLINA","10-22-2008","43900","NEGRO OBSID","12 MESES","75","2008/10","4045GJC","VF3WCKFVC34510484","","8900,00"," AIRE ACONDICIONADO PINTURA METALIZADA","PEUGEOT","CDVO","PA"
"103","70573","     ","1","PEUGEOT 3008 PREMIUM 2.0 HDI 150","","DIESEL","09-30-2009","34000","AZUL ABYSSE","24 MESES","150","2009/09","7361GPX","VF30URHE89S122296","","19900,00"," PINTURA METALIZADA SERIE","PEUGEOT","KM0","PA"
"102","76116","     ","1","PEUGEOT 207 5P CONFORT 1.4I 75 CV","5P","GASOLINA","06-23-2008","54500","NARANJA SALAMANCA","12 MESES","75","2008/06","8041GFH","VF3WCKFVC34420606","","8900,00"," ABS AIRBAG CONDUCTOR AIRBAG PASAJERO AIRBAG LATERAL CIERRE CENTRALIZADO AIRE ACONDICIONADO RADIO CD ELEVALUNAS ELECTRICO","PEUGEOT","CDVO","PA"
"102","76118","     ","1","PEUGEOT 207 5P CONFORT 1.4 HDI 70CV","5P","DIESEL","07-21-2008","53900","ROJO ADEN","12 MESES","70","2008/07","9229GGK","VF3WC8HZC34477638","","9900,00"," ABS AIRBAG CONDUCTOR AIRBAG PASAJERO AIRBAG LATERAL CIERRE CENTRALIZADO AIRE ACONDICIONADO RADIO CD ELEVALUNAS ELECTRICO","PEUGEOT","CDVO","PA"
"102","76122","     ","1","PEUGEOT PEUGEOT 3008 1.6 HDI 110CV","","DIESEL","02-22-2010","27383","GRIS SHARK","24 MESES","110","2010/02","1628GTR","VF30U9HZHAS044250","","19900,00","","PEUGEOT","","PA"
"102","76131","     ","1","SEAT CORDOBA 1.9 TDI SPORT","4P","DIESEL","08-07-2007","101600","GRIS ALUMINIO","12 MESES","105","2007/08","0993FTV","VSSZZZ6LZ8R0","","7800,00"," ABS AIRBAG PASAJERO AIRBAG CONDUCTOR ANTINIEBLA CIERRE CENTRALIZADO AIRE ACONDICIONADO CLIMATIZADOR DIRECCION ASISTIDA ELEVALUNAS ELECTRICO RADIO CD LLANTAS PINTURA METALIZADA","SEAT","PARTICULAR","PA"
"103","71095","     ","1","PEUGEOT 206 CC 1.6 HDI 110","","DIESEL","08-18-2005","99980","NEGRO OBSID","DESC","110","2005/08","6919DPB","VF32D9HZA44640614","","8500,00","","PEUGEOT","","PA"
"101","76573","     ","1","OPEL ASTRA 1.6 ENJOY  ","5P","GASOLINA","01-14-2010","16400","GRIS","24 MESES","115","2010/01","6412GSV","W0L0AHL48A5025330","","10200,00","","OPEL","PARTICULAR","PA"
"102","76822","     ","1","RENAULT LAGUNA II 1.9 DCI PRIVILEGE","4P","DIESEL","02-27-2005","69000","BEIGE","12 MESES","120","2005/02","9991DGK","00009991DGK0","","7500,00","","RENAULT","PARTICULAR","PA"
"102","76839","     ","1","PEUGEOT 407 SPORT 1.6 HDI 110CV","4P","DIESEL","03-29-2010","14800","ORO BLANCO (META","24 MESES","110","2010/03","3409GVG","VF36D9HZC9L027201","","16900,00"," ABS ESP AIRBAG CONDUCTOR AIRBAG LATERAL AIRBAG PASAJERO ANTINIEBLA CIERRE CENTRALIZADO CLIMATIZADOR ELEVALUNAS ELECTRICO CONTROL VELOCIDAD RADIO CD GPS LLANTAS AIRE ACONDICIONADO PINTURA METALIZADA","PEUGEOT","CDVO","PA"
"101","76848","     ","1","MERCEDES CLASE M ML 400 CDI AUTO 5P","","DIESEL","01-01-2002","144000","GRIS","12 MESES","","2002/01","5079BSJ","00000000005079BSJ","","11500,00","","MERCEDES","","PA"
"103","71589","     ","1","PEUGEOT 308 5P CONF VTI 120","","GASOLINA","12-01-2009","0","NEGRO","24 MESES","","2009/12","3200GSD","VF34C5FWC9S142988","","11900,00"," PINTURA METALIZADA","PEUGEOT","KM0","PA"
"102","66285","     ","1","PEUGEOT 107 5P URBAN MOVE 2 1.0 68","5P","GASOLINA","03-25-2009","18700","GRIS GALLIUM","24 MESES","68","2009/03","5313GLL","VF3PNCFAC88298050","","8000,00"," PINTURA METALIZADA","PEUGEOT","CDVO","PA"
"101","76908","     ","2","PEUGEOT COMBI PLU HDI 90","","DIESEL","09-28-2006","89200","BLANCO","12 MESES","","2006/09","1363FGC","00000000095202158","","6000,00","","PEUGEOT","PARTICULAR","PA"
"102","66423","     ","1","PEUGEOT 107 5P URBAN MOVE 2 1.0 68","5P","GASOLINA","03-25-2009","16180","GRIS GALLIUM","24 MESES","68","2009/03","5310GLL","VF3PNCFAC88302557","","8000,00"," ABS AIRBAG CONDUCTOR AIRBAG PASAJERO CIERRE CENTRALIZADO AIRE ACONDICIONADO DIRECCION ASISTIDA ELEVALUNAS ELECTRICO RADIO CD PINTURA METALIZADA","PEUGEOT","CDVO","PA"
"103","77079","     ","2","PEUGEOT BOXER FURGON 330 L1 H1 HDI 100","","DIESEL","10-30-2006","80483","BLANCO","12 MESES","100","2006/10","8362FHF","VF3YAAMFA11051699","","9300,00","","PEUGEOT","","PA"
"103","77081","     ","2","PEUGEOT  EXPERT FURGON CHAPA 2.0 HDI","","DIESEL","11-24-2006","101151","BLANCO","12 MESES","90","2006/11","9665FHS","VF3BSRHXB86277435","","7500,00","","PEUGEOT","KM0","PA"
